"BehaviorSpace results (NetLogo 5.3)"
"Virus.nlogo"
"experiment"
"01/27/2016 11:08:48:370 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-17","17","-17","17"
"[run number]","duration","infectiousness","chance-recover","[step]","count turtles"
"5","10","25","0","106","132"
"7","10","40","0","58","132"
"6","10","25","0","105","133"
"5","10","25","0","107","132"
"6","10","25","0","106","133"
"7","10","40","0","59","132"
"6","10","25","0","107","133"
"5","10","25","0","108","132"
"7","10","40","0","60","132"
"2","10","10","0","43","136"
"5","10","25","0","109","132"
"6","10","25","0","108","133"
"5","10","25","0","110","132"
"6","10","25","0","109","133"
"5","10","25","0","111","132"
"6","10","25","0","110","133"
"7","10","40","0","61","132"
"2","10","10","0","44","136"
"5","10","25","0","112","132"
"6","10","25","0","111","131"
"5","10","25","0","113","132"
"6","10","25","0","112","131"
"5","10","25","0","114","132"
"7","10","40","0","62","132"
"2","10","10","0","45","136"
"6","10","25","0","113","131"
"5","10","25","0","115","132"
"7","10","40","0","63","132"
"6","10","25","0","114","131"
"5","10","25","0","116","132"
"6","10","25","0","115","131"
"7","10","40","0","64","132"
"6","10","25","0","116","131"
"5","10","25","0","117","132"
"7","10","40","0","65","131"
"6","10","25","0","117","131"
"5","10","25","0","118","132"
"7","10","40","0","66","131"
"6","10","25","0","118","131"
"5","10","25","0","119","132"
"6","10","25","0","119","131"
"5","10","25","0","120","132"
"6","10","25","0","120","131"
"5","10","25","0","121","132"
"6","10","25","0","121","131"
"5","10","25","0","122","132"
"7","10","40","0","67","131"
"6","10","25","0","122","131"
"2","10","10","0","46","136"
"5","10","25","0","123","132"
"7","10","40","0","68","131"
"6","10","25","0","123","131"
"5","10","25","0","124","132"
"7","10","40","0","69","131"
"6","10","25","0","124","131"
"5","10","25","0","125","132"
"7","10","40","0","70","131"
"6","10","25","0","125","131"
"5","10","25","0","126","132"
"7","10","40","0","71","131"
"6","10","25","0","126","131"
"2","10","10","0","47","136"
"5","10","25","0","127","132"
"7","10","40","0","72","131"
"6","10","25","0","127","131"
"5","10","25","0","128","132"
"7","10","40","0","73","131"
"6","10","25","0","128","131"
"5","10","25","0","129","132"
"7","10","40","0","74","131"
"2","10","10","0","48","135"
"6","10","25","0","129","131"
